
Plant,Row,Bay,Level,Side,Location_Code
ANV2,C,05,4,R,ANV2_C_05_4_R
ANV2,C,05,5,L,ANV2_C_05_5_L
ANV2,C,05,5,R,ANV2_C_05_5_R
ANV2,C,05,6,L,ANV2_C_05_6_L
ANV2,C,05,6,R,ANV2_C_05_6_R
ANV2,C,06,1,L,ANV2_C_06_1_L
ANV2,C,06,1,R,ANV2_C_06_1_R
ANV2,C,06,2,L,ANV2_C_06_2_L
ANV2,C,06,2,R,ANV2_C_06_2_R
ANV2,C,06,3,L,ANV2_C_06_3_L
ANV2,C,06,3,R,ANV2_C_06_3_R
ANV2,C,06,4,L,ANV2_C_06_4_L
ANV2,C,06,4,R,ANV2_C_06_4_R
ANV2,C,06,5,L,ANV2_C_06_5_L
ANV2,C,06,5,R,ANV2_C_06_5_R
ANV2,C,06,6,L,ANV2_C_06_6_L
ANV2,C,06,6,R,ANV2_C_06_6_R
ANV2,C,07,1,L,ANV2_C_07_1_L
ANV2,C,07,1,R,ANV2_C_07_1_R
ANV2,C,07,2,L,ANV2_C_07_2_L
ANV2,C,07,2,R,ANV2_C_07_2_R
ANV2,C,07,3,L,ANV2_C_07_3_L
ANV2,C,07,3,R,ANV2_C_07_3_R
ANV2,C,07,4,L,ANV2_C_07_4_L
ANV2,C,07,4,R,ANV2_C_07_4_R
ANV2,C,07,5,L,ANV2_C_07_5_L
ANV2,C,07,5,R,ANV2_C_07_5_R
ANV2,C,07,6,L,ANV2_C_07_6_L
ANV2,C,07,6,R,ANV2_C_07_6_R
ANV2,C,08,1,L,ANV2_C_08_1_L
ANV2,C,08,1,R,ANV2_C_08_1_R
ANV2,C,08,2,L,ANV2_C_08_2_L
ANV2,C,08,2,R,ANV2_C_08_2_R
ANV2,C,08,3,L,ANV2_C_08_3_L
ANV2,C,08,3,R,ANV2_C_08_3_R
ANV2,C,08,4,L,ANV2_C_08_4_L
ANV2,C,08,4,R,ANV2_C_08_4_R
ANV2,C,08,5,L,ANV2_C_08_5_L
ANV2,C,08,5,R,ANV2_C_08_5_R
ANV2,C,08,6,L,ANV2_C_08_6_L
ANV2,C,08,6,R,ANV2_C_08_6_R
ANV2,C,09,1,L,ANV2_C_09_1_L
ANV2,C,09,1,R,ANV2_C_09_1_R
ANV2,C,09,2,L,ANV2_C_09_2_L
ANV2,C,09,2,R,ANV2_C_09_2_R
ANV2,C,09,3,L,ANV2_C_09_3_L
ANV2,C,09,3,R,ANV2_C_09_3_R
ANV2,C,09,4,L,ANV2_C_09_4_L
ANV2,C,09,4,R,ANV2_C_09_4_R
ANV2,C,09,5,L,ANV2_C_09_5_L
ANV2,C,09,5,R,ANV2_C_09_5_R
ANV2,C,09,6,L,ANV2_C_09_6_L
ANV2,C,09,6,R,ANV2_C_09_6_R
ANV2,C,10,1,L,ANV2_C_10_1_L
ANV2,C,10,1,R,ANV2_C_10_1_R
ANV2,C,10,2,L,ANV2_C_10_2_L
ANV2,C,10,2,R,ANV2_C_10_2_R
ANV2,C,10,3,L,ANV2_C_10_3_L
ANV2,C,10,3,R,ANV2_C_10_3_R
ANV2,C,10,4,L,ANV2_C_10_4_L
ANV2,C,10,4,R,ANV2_C_10_4_R
ANV2,C,10,5,L,ANV2_C_10_5_L
ANV2,C,10,5,R,ANV2_C_10_5_R
ANV2,C,10,6,L,ANV2_C_10_6_L
ANV2,C,10,6,R,ANV2_C_10_6_R
ANV2,C,11,1,L,ANV2_C_11_1_L
ANV2,C,11,1,R,ANV2_C_11_1_R
ANV2,C,11,2,L,ANV2_C_11_2_L
ANV2,C,11,2,R,ANV2_C_11_2_R
ANV2,C,11,3,L,ANV2_C_11_3_L
ANV2,C,11,3,R,ANV2_C_11_3_R
ANV2,C,11,4,L,ANV2_C_11_4_L
ANV2,C,11,4,R,ANV2_C_11_4_R
ANV2,C,11,5,L,ANV2_C_11_5_L
ANV2,C,11,5,R,ANV2_C_11_5_R
ANV2,C,11,6,L,ANV2_C_11_6_L
ANV2,C,11,6,R,ANV2_C_11_6_R
ANV2,C,12,1,L,ANV2_C_12_1_L
ANV2,C,12,1,R,ANV2_C_12_1_R
ANV2,C,12,2,L,ANV2_C_12_2_L
ANV2,C,12,2,R,ANV2_C_12_2_R
ANV2,C,12,3,L,ANV2_C_12_3_L
ANV2,C,12,3,R,ANV2_C_12_3_R
ANV2,C,12,4,L,ANV2_C_12_4_L
ANV2,C,12,4,R,ANV2_C_12_4_R
ANV2,C,12,5,L,ANV2_C_12_5_L
ANV2,C,12,5,R,ANV2_C_12_5_R
ANV2,C,12,6,L,ANV2_C_12_6_L
ANV2,C,12,6,R,ANV2_C_12_6_R
ANV2,D,01,1,L,ANV2_D_01_1_L
ANV2,D,01,1,R,ANV2_D_01_1_R
ANV2,D,01,2,L,ANV2_D_01_2_L
ANV2,D,01,2,R,ANV2_D_01_2_R
ANV2,D,01,3,L,ANV2_D_01_3_L
ANV2,D,01,3,R,ANV2_D_01_3_R
ANV2,D,01,4,L,ANV2_D_01_4_L
ANV2,D,01,4,R,ANV2_D_01_4_R
ANV2,D,01,5,L,ANV2_D_01_5_L
ANV2,D,01,5,R,ANV2_D_01_5_R
ANV2,D,01,6,L,ANV2_D_01_6_L
ANV2,D,01,6,R,ANV2_D_01_6_R
ANV2,D,02,1,L,ANV2_D_02_1_L
ANV2,D,02,1,R,ANV2_D_02_1_R
ANV2,D,02,2,L,ANV2_D_02_2_L
ANV2,D,02,2,R,ANV2_D_02_2_R
ANV2,D,02,3,L,ANV2_D_02_3_L
ANV2,D,02,3,R,ANV2_D_02_3_R
